Derogative word,"Explicit comparison to an animal, machine or non-human substance",Moral disgust or indifference,Extreme negative evaluation,Denial of prosocial values and communality,Deindividuated entitative perception,Denial of agency,Type,Examples
бандерорвцы,,1,,1,,,dehumanising ukrainians,
бендерорвцы,,1,,1,,,dehumanising ukrainians,
боевик,,,,1,,0.5,dehumanising ukrainians,
"враг, противник",,,1,,,,dehumanising ukrainians,
"враг, противник (with respect to a whole group)",,,1,,1,,dehumanising ukrainians,
всушник,,1,,,,,dehumanising ukrainians,
вфу,,1,,,,1,dehumanising ukrainians,
вышивaнка,,1,,,,,dehumanising ukrainians,
вышивaта,1,1,,,,,dehumanising ukrainians,
живая сила (противника),0.5,,,,1,,dehumanising ukrainians,
западэнцы,,1,,,,,dehumanising ukrainians,
вой,0.5,0.5,,,,,dehumanising ukrainians,
зверства,0.5,,,1,,,dehumanising ukrainians,
зе,,1,,,,,dehumanising ukrainians,
зсушник,,1,,,,,dehumanising ukrainians,
майданутый,,1,,,,1,dehumanising ukrainians,
майдаун,,1,,,,1,dehumanising ukrainians,
малороссия,,1,,,,0.5,dehumanising ukrainians,
марионеточный режим,,0.5,0.5,,,0.5,dehumanising ukrainians,
нацбат,,,,,,1,dehumanising ukrainians,
нацик,,1,1,1,,,dehumanising ukrainians,
националист,,,,,,0.5,dehumanising ukrainians,
нацист,,,1,1,,,dehumanising ukrainians,
нацэлементы,0.5,,,,1,0.5,dehumanising ukrainians,
ненька,,1,,,,,dehumanising ukrainians,
новороссия,,1,,,,1,dehumanising ukrainians,
правосек,,1,,,,,dehumanising ukrainians,
рагуля / рогуля,,1,,,,1,dehumanising ukrainians,
угил,,1,1,,,,dehumanising ukrainians,
укра,,1,,,,,dehumanising ukrainians,
укро…,,1,,,,,dehumanising ukrainians,
укроп,0.5,1,,,,1,dehumanising ukrainians,
укрфашист / укронацист,,1,1,1,1,,dehumanising ukrainians,
укры,,1,,,1,,dehumanising ukrainians,
хохлы,,1,,,,,dehumanising ukrainians,
ЦИПсО,,,,1,,,dehumanising ukrainians,
киевская клика,,,0.5,,,0.5,dehumanising ukrainians,
киевский/украинский режим,,,0.5,,,0.5,dehumanising ukrainians,
укрорейх,,1,1,1,1,,dehumanising ukrainians,
зверства,,0.5,,,1,,dehumanising russians,
Z-нацист,,,1,1,,,dehumanising russians,
Zапутинист / Zапутiнист,,1,1,,,,dehumanising russians,
zасранец,,1,1,,,,dehumanising russians,
zло,,,1,1,,,dehumanising russians,
абизяна,1,1,,1,,1,dehumanising russians,
вата,1,1,,1,1,1,dehumanising russians,
ватан,,1,,,,,dehumanising russians,
ватка,1,1,,1,1,1,dehumanising russians,
ватник,,1,,,,,dehumanising russians,
ввх,,1,,,,,dehumanising russians,
великороссийский / великоросийськi,,1,,,,,dehumanising russians,
великорусский / великоруськi,,1,,,,,dehumanising russians,
(подняли) вой,0.5,0.5,,,,,dehumanising russians,
"враг/ворог, противник",,,1,,,,dehumanising russians,
"враг/ворог, противник (with respect to a whole group)",,,1,,1,,dehumanising russians,
живая сила (противника),0.5,,,,1,,dehumanising russians,
кацап,,1,,,,,dehumanising russians,
макака,1,1,,1,,1,dehumanising russians,
мерZота,,1,1,,,,dehumanising russians,
мордор,1,1,1,1,1,1,dehumanising russians,
москаль,,1,,,,,dehumanising russians,
москвота,,1,,,1,1,dehumanising russians,
московит,,1,,,,,dehumanising russians,
московія,,1,,,,,dehumanising russians,
орда,,,1,,1,,dehumanising russians,
орк,1,1,1,1,,1,dehumanising russians,
путлер,,1,1,,,,dehumanising russians,
"раша, рашка",,1,,,,,dehumanising russians,
"рашист, рашизм",,1,1,1,1,,dehumanising russians,
русня,,1,,,1,,dehumanising russians,
свинособаки  / 🐷🐶,1,1,,1,,1,dehumanising russians,
свинья,1,1,,1,,1,dehumanising russians,
скоторосійський,1,1,1,1,1,1,dehumanising russians,
"скоторусы, свинораша",1,1,1,1,1,1,dehumanising russians,
