message ID,message,ingroup_cohesion_manual,positionality,"Explicit comparison to an animal, machine or non-human substance",Moral disgust or indifference,Extreme negative evaluation,Denial of prosocial values and communality,Deindividuated entitative perception,Denial of agency,Dehumanising_outgroup,Confidence,Dehumanising_other,Dehumanising_other_target
575076,"""Все линии нашей обороны сохранены. Ни на одном направлении стратегической обороны у врага нет успеха. Они подавлены и обречены"", — Зеленский.",1,ukraine_russian,0,0,1,0,1,0,0.5,3,,
678192,"Новый уровень «журналистики» от переформатированного под нужды Зеленского гостелеканала Рада.

Телеведущий - работающий на Офис президента политтехнолог Сергей Иванов вчера обвинил нардепа от ОПЗЖ Александра Качного в работе на Кремль (не приведя никаких доказательств этому обвинению)

А Александр Качный задал Иванову  вопросом ""из какого кабинета вы вышли перед эфиром?"", очевидно подразумевая, что тот сотрдничает с властью.

Иванов на это заявил, что вышел из гримерки, заявил, что с Качным не о чем говорить, а затем завершил эфир

Уже после эфира Сергей Иванов обматерил Качного у себя в телеграм-канале.

В общем, «парламентская  журналистика», которую мы заслужили.

Похоже содержащийся на деньги налогоплательщиков канал Рада превращается в аналог каналов «Прямой» и «Эспрессо». Только в роли «гетьмана» там не Порошенко, а Зеленский.",1,ukraine_russian,0,0,0,0,0,0,0,3,,
738004,"⚡️Вночі окупанти вдарили по Дніпропетровщині: одна ракета влучила у залізничну інфраструктуру, дві у промислове підприємство. Одна людина загинула.

Про це повідомив керівник ОВА Резніченко.

Новини України | Підпишись",0,ukraine_ukrainian,0,0,0,0,0,0,0,3,,
550088,"Глава МИД Украины Дмитрий Кулеба поделился информацией о завтрашних переговорах украинской и российской делегаций в Стамбуле:

▪️ Программа-минимум — решение гуманитарных вопросов, программа-максимум — прекращение огня и достижение стабильной договоренности об этом.

▪️ На данный момент ни по одному пункту стороны не договорились.

▪️Украинская сторона не будет отказываться от суверенитета, территорий и людей.

▪️ Если Россия снова будет говорить языком ультиматумов и пропагандистских штампов, переговоры закончатся ничем.

Русский Корабль Иди … | Подписаться",0,ukraine_russian,0,1,0,0,0,0,0.5,3,,
562924,"⚡️ЕС намерен ввести шестой пакет санкций против России в начале следующей недели, сообщает газета Politico со ссылкой на неназванных дипломатов.

Новый пакет санкций может включать ""определенный запрет"" на импорт российской нефти, а также отключение новых российских банков от SWIFT.

Киев — прямая трансляция 👈
Прислать новость",0,ukraine_russian,0,0,0,0,0,0,0,3,,
51811,"В Туле на врачей скорой помощи завели уголовное дело за антивоенные надписи на домах.

Позавчера местный житель обнаружил текст с понятным посылом в подъезде своего дома — черным цветом кто-то вывел «Свергни ******! Останови *****!». Мужчина вызвал полицию и пожаловался на лозунги, приехавшие сотрудники обнаружили аналогичный текст на домах в районе улицы Макаренко. Делом занялись в центре “Э” — авторов надписей быстро нашли. По нашим данным, ими оказались фельдшеры местной скорой помощи “Центра медицины и катастроф”.

28-летние медики, которые живут в этом же районе, таким образом пытались выразить несогласие с событиями в Украине. Вчера на врачей завели уголовное дело по ч. 2 ст. 214 УК РФ (вандализм). Они задержаны.",0,russia,0,0,0,0,0,0,0,3,,
359579,"«Никто [на Западе] не заинтересован в Украине. Есть цель — ослабить Россию, а после того как это произойдёт, повторить всё в отношении Китая», — считает бывший офицер швейцарской разведки и советник НАТО Жак Бо.

Опасным же специалисту видится то, как в ЕС и США выносят политические решения:

«Мы принимаем решения, даже не зная, что происходит, и я думаю, что это свидетельствует о крайне незрелом руководстве, которое мы имеем на Западе в целом».

N.B. Полковник спецподразделений НАТО в отставке Жак Бо занимался разведкой против стратегических сил Варшавского договора, говорит и читает по-русски, с 2014 года принимал участие в проектах Североатлантического альянса на территории Украины.",0,russia,0,0,0,0,0,0,0,3,,
364916,"Блеск и нищета украинской пропаганды. Мелитополь, по мнению идиотов ЦиПСО это очередь за продуктами и в аптеку. И даже видео обрезать не удосужились, это раздача гуманитарной помощи жителям от ВС РФ.",0,russia,0,1,0,1,0,0,0.5,3,,
199998,"Глава МИД Украины Кулеба после событий в Буче требует от стран G7:

▪️Ввести эмбарго на российскую нефть, газ, уголь;

▪️Закрытия всех портов для российских судов и товаров;

▪️Отключение всех российских банков от SWIFT.

Кулеба отметил, что резня в Буче была преднамеренной и россияне стремятся уничтожить как можно больше украинцев. 

""Мы должны остановить и вышвырнуть их. Я требую новых разрушительных санкций Большой семерки уже сейчас"", — написал Кулеба.

Безосновательные обвинение от Кулебы. Такой же вой украинские политики и прихлебатели подняли, когда произошёл «удар по роддому» в Мариуполе. Теперь мы столкнулись с ещё более циничной провокацией и Россию без суда и следствия хотят обвинить в зверствах украинских военных.",1,russia,0.5,1,1,1,0,1,1,3,,
746222,"22 БЕРЕЗНЯ ЗНИЩЕНО 6 ЛІТАКІВ, 1 ВЕРТОЛІТ, 5 БПЛА, 5 КРИЛАТИХ РАКЕТ/ MARCH 22 WERE DESTROYED 6 PLANES, 1 HELICOPTER, 5 UAVS AND 5 CRUISE MISSILES 
-------------------------------------
22 березня протиповітряна оборона не зупинилась на 100-му збитому літаку російських окупантів і завдала ворогу суттєвих втрат в повітрі.
Ударна авіація Повітряних Сил Збройних Сил України нанесла удари по наземних цілях: скупченню техніки та живій силі ворога. Винищувачі здійснювали прикриття з повітря і збили дві крилаті ракети ворога.
Символічно, що сотий, ювілейний літак окупантів – на рахунку героїчних захисників міста-героя Маріуполя.
Крім того, протиповітряна оборона Сухопутних військ звітує про збиття одного БпЛА та однієї крилатої ракети. Ще одна – на рахунку воїна десантно-штурмових військ, який знищив «крилату» із ПЗРК.
Справжнє пекельне небо для повітряних терористів влаштували зенітні ракетні війська Повітряних Сил ЗС України. На їх рахунку – одинадцять повітряних цілей: п’ять літаків, один вертоліт, чотири безпілотники оперативно-тактичного рівня та одна крилата ракета.
Тож маємо такі втрати окупантів за добу 22 березня:
- літаки  – 6;
- вертольоти – 1;
- БпЛА (ОТР) – 5;
- крилаті ракети – 5.
Б’ємо ворога разом!
Разом – до перемоги!
#stoprussia
========================
MARCH 22 WERE DESTROYED 6 PLANES, 1 HELICOPTER, 5 UAVS AND 5 CRUISE MISSILES 
On March 22, the air defense decided not to stop on the 100th downed plane of the Russian occupiers and inflicted significant losses on the enemy in the air.
Percussive aircraft of the Air Force of the Armed Forces of Ukraine struck at ground targets to accumulate equipment and manpower of the enemy. The fighters covered from the air and shot down two enemy cruise missiles.
It is symbolic that the 100th, jubilee plane of the occupiers is on the account of the heroic defenders of the hero city of Mariupol.
In addition, the air defense of the Land Forces reports the downing of one UAV and one cruise missile. Another is on the account of a soldier of the assault troops who destroyed the cruise missile MANPADS.
The real hellish sky for air terrorists was arranged by anti-aircraft missile forces of the Air Force of the Armed Forces of Ukraine. They have eleven air targets: five planes, one helicopter, four operational-tactical drones and one cruise missile.
So we have the following losses of the occupiers for the day of March 22:
- aircraft - 6;  
- helicopters - 1; 
- UAV - 5;
- cruise missiles - 5.
Let's fight the enemy together!
Together to victory!",2,ukraine_ukrainian,0.5,0,1,1,1,0,0.5,3,,
